                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5074,                 2.4803,                 1.8355,                0.77253,                0.78406,                0.76983,                0.57053,                0.77445,                 3.0539,                 1.4078,                 0.0001,                 0.0001,                 0.0001
                      2,                 1.3915,                 1.6688,                 1.6996,                0.76943,                0.89872,                0.78715,                0.54119,                 1.0812,                 1.2513,                  1.569,              0.0001474,              0.0001474,              0.0001474
                      3,                 1.2367,                 1.3216,                 1.5331,                0.82801,                0.80769,                0.80775,                0.60513,                 0.8978,                 2.1275,                 1.4325,              0.0001156,              0.0001156,              0.0001156
